iter	Logloss
0	0.2982315261
1	0.235152579
2	0.2075294526
3	0.1938775802
4	0.188668564155	0.185701149
6	0.1841965032
7	0.1833934393
8	0.18081268
9	0.179558222
10	0.179310818
11	0.1787905396
12	0.1782598688
13	0.1782361779
14	0.1774117825
15	0.1770118024
16	0.1765105502
17	0.1761947694
18	0.1759909696
19	0.1759285663
20	0.1758650548
21	0.1756331151
22	0.1755163591
23	0.1748788003
24	0.1747785877
25	0.1745224406
26	0.1745108531
27	0.1743257276
28	0.1735034375
29	0.1732149585
30	0.173192855
31	0.1729081095
32	0.1729066867
33	0.1725515612
34	0.1725012009335	0.1724570629336	0.1723043183737	0.1721818343838	0.1721767743939	0.1720858284040	0.1719019664141	0.1713947024242	0.1708991534343	0.1703133354444	0.1698647904545	0.1696474594646	0.1695455254747	0.1691596454848	0.1689112194949	0.1687602205050	0.1686621935151	0.1683453775252	0.1681437765353	0.1681016415454	0.1679561375555	0.1678636056	56	0.1678634457	57	0.1678440958	58	0.1677508659	59	0.1677417760	60	0.1677267761	61	0.1676472862	62	0.1672423263	63	0.1668424364	64	0.1662716765	65	0.1661921066	66	0.1658220967	67	0.1658093968	68	0.165540766969	0.1655206837070	0.1654904171	71	0.16543548772	0.1648257722773	0.1643750007474	0.1642454475	75	0.1642233376	76	0.1641313477	77	0.1640585678	78	0.1640141679	79	0.1635961951
5076

