iter	Logloss_SumError	Logloss_SumWeight
0	4299.669076	6554
1	4081.045672	6554
2	3865.537759	6554
3	3680.07535	6554
4	3509.003174	6554
5	3351.254382	6554
6	3204.535194	6554
7	3070.454677	6554
8	2943.740377	6554
9	2830.149165	6554
10	2715.207853	6554
11	2612.582666	6554
12	2524.120331	6554
13	2442.895413	6554
14	2365.754471	6554
15	2289.796395	6554
16	2226.148525	6554
17	2163.952972	6554
18	2104.431102	6554
19	2053.805465	6554
20	2007.635899	6554
21	1964.806764	6554
22	1917.825534	6554
23	1872.882547	6554
24	1827.676821	6554
25	1789.371404	6554
26	1752.809889	6554
27	1717.563544	6554
28	1681.867589	6554
29	1653.508863	6554
30	1625.595818	6554
31	1593.383391	6554
32	1563.124673	6554
33	1534.114148	6554
34	1505.596055	6554
35	1480.75196	6554
36	1456.165571	6554
37	1428.778429	6554
38	1403.350006	6554
39	1381.354237	6554
40	1361.863275	6554
41	1340.766891	6554
42	1324.962294	6554
43	1307.327852	6554
44	1290.966398	6554
45	1279.557066	6554
46	1264.640211	6554
47	1252.060114	6554
48	1238.582395	6554
49	1226.003567	6554
50	1215.362972	6554
51	1204.153718	6554
52	1193.549475	6554
53	1185.022983	6554
54	1176.207338	6554
55	1169.097944	6554
56	1160.393508	6554
57	1155.432575	6554
58	1148.951121	6554
59	1142.747463	6554
60	1137.731524	6554
61	1131.345677	6554
62	1125.058056	6554
63	1118.152254	6554
64	1112.759957	6554
65	1106.290392	6554
66	1100.205342	6554
67	1095.928279	6554
68	1091.460231	6554
69	1086.979923	6554
70	1081.722323	6554
71	1077.16237	6554
72	1073.650829	6554
73	1069.583627	6554
74	1066.106699	6554
75	1061.919197	6554
76	1058.384841	6554
77	1055.601733	6554
78	1052.663569	6554
79	1049.874799	6554
80	1046.358308	6554
81	1044.078467	6554
82	1041.082559	6554
83	1037.132102	6554
84	1034.912859	6554
85	1032.379469	6554
86	1029.824409	6554
87	1024.943884	6554
88	1021.297921	6554
89	1018.892954	6554
90	1015.284902	6554
91	1012.917028	6554
92	1010.70592	6554
93	1007.807962	6554
94	1004.710292	6554
95	1001.631755	6554
96	998.681783	6554
97	996.4661211	6554
98	994.2472389	6554
99	991.7967022	6554
100	989.2047196	6554
101	986.4006785	6554
102	983.9103604	6554
103	982.1358189	6554
104	981.1457382	6554
105	978.9065907	6554
106	977.1186474	6554
107	976.2194718	6554
108	974.0637963	6554
109	972.7459801	6554
110	971.5188673	6554
111	970.0102036	6554
112	969.1184283	6554
113	967.6571236	6554
114	966.8157106	6554
115	965.6019229	6554
116	964.4851146	6554
117	963.4191163	6554
118	962.6507002	6554
119	961.8343451	6554
120	960.8086692	6554
121	959.7165656	6554
122	959.118318	6554
123	958.6317632	6554
124	956.7500035	6554
125	955.8392885	6554
126	955.1255677	6554
127	954.3355752	6554
128	953.9345501	6554
129	953.2019735	6554
130	952.5528119	6554
131	952.2323064	6554
132	951.1319967	6554
133	950.5247904	6554
134	950.1450342	6554
135	948.48982	6554
136	946.8609269	6554
137	945.6824583	6554
138	945.1814621	6554
139	944.6136368	6554
140	943.293427	6554
141	941.9412538	6554
142	941.4529303	6554
143	940.356041	6554
144	939.0900287	6554
145	937.5245472	6554
146	936.9585455	6554
147	936.0042857	6554
148	935.8191269	6554
149	935.2646763	6554
150	934.8819832	6554
151	933.8493021	6554
152	932.9587722	6554
153	932.6269465	6554
154	932.0835785	6554
155	930.8813488	6554
156	930.4735417	6554
157	930.2371908	6554
158	930.0390516	6554
159	929.5617433	6554
160	929.2577534	6554
161	928.7672344	6554
162	928.5310638	6554
163	927.8586824	6554
164	927.7226767	6554
165	927.2732014	6554
166	926.6490333	6554
167	926.4580396	6554
168	925.8342763	6554
169	925.1315449	6554
170	924.8124855	6554
171	924.7709391	6554
172	924.6951129	6554
173	924.0127413	6554
174	924.0188081	6554
175	923.7277205	6554
176	923.4048677	6554
177	923.0855782	6554
178	922.2958295	6554
179	921.5589646	6554
180	920.7695951	6554
181	920.6252684	6554
182	920.4928278	6554
183	920.0241014	6554
184	919.9795336	6554
185	919.8064956	6554
186	919.6375355	6554
187	919.1591684	6554
188	919.057787	6554
189	918.3713452	6554
190	918.2964716	6554
191	918.1257192	6554
192	917.616136	6554
193	917.472408	6554
194	916.8255242	6554
195	916.4308233	6554
196	915.3306458	6554
197	914.9782053	6554
198	914.9044952	6554
199	914.4187206	6554
